MONTH,FILE_NAME,HARD_CODE_SECR,EMPT_PASS,HTTP_USAG,BIND_USAG,SUSP_COMM,INTE_CHCK,TOTAL
2019-03-09 02:04:32.319972, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/aws/vars-sample.yml,3,0,0,0,0,0,3
2019-03-09 02:04:32.321250, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/terraform_integration/vars.yml,2,0,0,0,0,0,2
2019-03-09 02:04:32.353308, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/terraform_integration/aws_vm_series_config.yml,0,1,0,0,0,0,1
2019-03-09 02:04:32.354569, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/terraform_integration/vars-sample.yml,2,0,0,0,0,0,2
2019-03-09 02:04:32.365310, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/basic_plumbing/basic_networking_config.yml,0,1,0,0,0,0,1
2019-03-09 02:04:32.366680, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/basic_plumbing/vars-sample.yml,2,0,0,0,0,0,2
2019-03-09 02:04:32.427368, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/se_summit_2018/vars.yml,2,0,0,0,0,0,2
2019-03-09 02:04:32.515120, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/se_summit_2018/aws_vm_series_config.yml,0,1,0,0,0,0,1
2019-03-09 02:04:32.521574, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/se_summit_2018/setup_passwd.yml,0,1,0,0,0,0,1
2019-03-09 02:04:32.522587, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/se_summit_2018/vars-sample.yml,2,0,0,0,0,0,2
2019-03-09 02:04:32.523699, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/ansible-pull/vars-sample.yml,2,0,0,0,0,0,2
2019-03-09 02:04:32.574497, /home/brokenquark/repo-ansi/PaloAltoNetworks-BD@ansible-pan/ansible-playbooks/srules/vars-sample.yml,2,0,0,0,0,0,2
2019-03-09 02:04:32.780101, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/check_package_upgrades.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.014770, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/jenkins_master/defaults/main.yml,1,0,1,0,0,0,2
2019-03-09 02:04:33.046515, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/jenkins_master/tasks/main.yml,1,0,1,0,4,0,6
2019-03-09 02:04:33.097169, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/common/tasks/main.yml,3,0,0,0,2,0,5
2019-03-09 02:04:33.121721, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/ad_hoc_reporting/tasks/main.yml,4,0,0,0,0,0,4
2019-03-09 02:04:33.145017, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/harprofiler/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.154747, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/harprofiler/tasks/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.187504, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/edxlocal/tasks/main.yml,2,0,0,0,0,0,2
2019-03-09 02:04:33.192343, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/newrelic-npi/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.217937, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/xserver/defaults/main.yml,2,0,0,0,0,0,2
2019-03-09 02:04:33.249655, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/xserver/tasks/deploy.yml,2,0,0,0,0,0,2
2019-03-09 02:04:33.260104, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/xserver/tasks/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.271118, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/test_build_server/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.289768, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/aws/defaults/main.yml,0,0,0,0,2,1,3
2019-03-09 02:04:33.303508, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/aws/tasks/main.yml,1,0,0,0,2,0,3
2019-03-09 02:04:33.317605, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/forum/defaults/main.yml,3,0,0,1,0,0,4
2019-03-09 02:04:33.335312, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/forum/tasks/deploy.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.344267, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/forum/tasks/main.yml,2,0,0,0,0,0,2
2019-03-09 02:04:33.355369, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/go-agent/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.399955, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/hadoop_common/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.433854, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/hadoop_common/tasks/main.yml,4,0,0,0,0,0,4
2019-03-09 02:04:33.438861, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/redis/defaults/main.yml,1,1,0,0,0,0,2
2019-03-09 02:04:33.443838, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/redis/tasks/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.462794, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/git_clone/tasks/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.467480, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/elasticsearch/defaults/main.yml,2,0,0,0,0,0,2
2019-03-09 02:04:33.495563, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/antivirus/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.521422, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/logstash/tasks/main.yml,2,0,0,0,0,0,2
2019-03-09 02:04:33.525724, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/docker-tools/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.541263, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/flower/defaults/main.yml,4,0,0,1,0,0,5
2019-03-09 02:04:33.576869, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/harstorage/defaults/main.yml,2,0,0,1,0,1,4
2019-03-09 02:04:33.597451, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/harstorage/tasks/main.yml,2,0,0,0,0,0,2
2019-03-09 02:04:33.613505, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/go-server/defaults/main.yml,3,3,0,0,0,0,6
2019-03-09 02:04:33.619584, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/go-server/tasks/setup_regular_backup.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.664183, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/go-server/tasks/main.yml,7,0,0,0,0,0,7
2019-03-09 02:04:33.690992, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/gh_mirror/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.707705, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/sqoop/defaults/main.yml,0,0,2,0,0,0,2
2019-03-09 02:04:33.747374, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/common_vars/defaults/main.yml,11,1,1,0,0,0,13
2019-03-09 02:04:33.751379, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/edx-sandbox/tasks/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.757506, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/server_utils/tasks/main.yml,0,0,0,0,1,0,1
